,Conf,arxiv,similarity,conf_idx
0,A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models, A Causal Framework to Quantify the Robustness of Mathematical Reasoning  with Language Models,99,0
1,Annotating Mentions Alone Enables Efficient Domain Adaptation for Coreference Resolution, Mention Annotations Alone Enable Efficient Domain Adaptation for  Coreference Resolution,92,36
2,Apollo: A Simple Approach for Adaptive Pretraining of Language Models for Logical Reasoning, APOLLO: A Simple Approach for Adaptive Pretraining of Language Models  for Logical Reasoning,99,39
3,Attractive Storyteller: Stylized Visual Storytelling with Unpaired Text, Visual Storytelling,90,47
4,Beyond Contrastive Learning: A Variational Generative Model for Multilingual Retrieval, Beyond Contrastive Learning: A Variational Generative Model for  Multilingual Retrieval,99,57
5,BITE: Textual Backdoor Attacks with Iterative Trigger Injection, Textual Backdoor Attacks with Iterative Trigger Injection,95,64
6,BUMP: A Benchmark of Unfaithful Minimal Pairs for Meta-Evaluation of Faithfulness Metrics, BUMP: A Benchmark of Unfaithful Minimal Pairs for Meta-Evaluation of  Faithfulness Metrics,99,72
7,Can NLI Provide Proper Indirect Supervision for Low-resource Biomedical Relation Extraction?, Can NLI Provide Proper Indirect Supervision for Low-resource Biomedical  Relation Extraction?,99,76
8,ColD Fusion: Collaborative Descent for Distributed Multitask Finetuning, ColD Fusion: Collaborative Descent for Distributed Multitask Finetuning,100,99
9,Cold-Start Data Selection for Better Few-shot Language Model Fine-tuning: A Prompt-based Uncertainty Propagation Approach, Cold-Start Data Selection for Few-shot Language Model Fine-tuning: A  Prompt-Based Uncertainty Propagation Approach,97,100
10,Continual Contrastive Finetuning Improves Low-Resource Relation Extraction, Continual Contrastive Finetuning Improves Low-Resource Relation  Extraction,99,115
11,Continual Knowledge Distillation for Neural Machine Translation, Selective Knowledge Distillation for Neural Machine Translation,90,116
12,Counterfactual Multihop QA: A Cause-Effect Approach for Reducing Disconnected Reasoning, Counterfactual Multihop QA: A Cause-Effect Approach for Reducing  Disconnected Reasoning,99,128
13,Dialect-robust Evaluation of Generated Text, Dialect-robust Evaluation of Generated Text,100,152
14,DIONYSUS: A Pre-trained Model for Low-Resource Dialogue Summarization, DIONYSUS: A Pre-trained Model for Low-Resource Dialogue Summarization,100,164
15,DiSCoMAT: Distantly Supervised Composition Extraction from Tables in Materials Science Articles, DiSCoMaT: Distantly Supervised Composition Extraction from Tables in  Materials Science Articles,99,166
16,Diverse Demonstrations Improve In-context Compositional Generalization, Diverse Demonstrations Improve In-context Compositional Generalization,100,177
17,Do CoNLL-2003 Named Entity Taggers Still Work Well in 2023?, Do CoNLL-2003 Named Entity Taggers Still Work Well in 2023?,100,180
18,Do language models have coherent mental models of everyday things?, Do language models have coherent mental models of everyday things?,100,182
