FALSE,ID,Conf,arxiv,similarity,conf_idx
FALSE,0,A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models,A Causal Framework to Quantify the Robustness of Mathematical Reasoning  with Language Models,99,0
FALSE,1,Annotating Mentions Alone Enables Efficient Domain Adaptation for Coreference Resolution,Mention Annotations Alone Enable Efficient Domain Adaptation for  Coreference Resolution,92,36
FALSE,2,Apollo: A Simple Approach for Adaptive Pretraining of Language Models for Logical Reasoning,APOLLO: A Simple Approach for Adaptive Pretraining of Language Models  for Logical Reasoning,99,39
TRUE,3,Attractive Storyteller: Stylized Visual Storytelling with Unpaired Text,Visual Storytelling,90,47
FALSE,4,Beyond Contrastive Learning: A Variational Generative Model for Multilingual Retrieval,Beyond Contrastive Learning: A Variational Generative Model for  Multilingual Retrieval,99,57
FALSE,5,BITE: Textual Backdoor Attacks with Iterative Trigger Injection,Textual Backdoor Attacks with Iterative Trigger Injection,95,64
FALSE,6,BUMP: A Benchmark of Unfaithful Minimal Pairs for Meta-Evaluation of Faithfulness Metrics,BUMP: A Benchmark of Unfaithful Minimal Pairs for Meta-Evaluation of  Faithfulness Metrics,99,72
FALSE,7,Can NLI Provide Proper Indirect Supervision for Low-resource Biomedical Relation Extraction?,Can NLI Provide Proper Indirect Supervision for Low-resource Biomedical  Relation Extraction?,99,76
FALSE,8,ColD Fusion: Collaborative Descent for Distributed Multitask Finetuning,ColD Fusion: Collaborative Descent for Distributed Multitask Finetuning,100,99
FALSE,9,Cold-Start Data Selection for Better Few-shot Language Model Fine-tuning: A Prompt-based Uncertainty Propagation Approach,Cold-Start Data Selection for Few-shot Language Model Fine-tuning: A  Prompt-Based Uncertainty Propagation Approach,97,100
FALSE,10,Continual Contrastive Finetuning Improves Low-Resource Relation Extraction,Continual Contrastive Finetuning Improves Low-Resource Relation  Extraction,99,115
TRUE,11,Continual Knowledge Distillation for Neural Machine Translation,Selective Knowledge Distillation for Neural Machine Translation,90,116
FALSE,12,Counterfactual Multihop QA: A Cause-Effect Approach for Reducing Disconnected Reasoning,Counterfactual Multihop QA: A Cause-Effect Approach for Reducing  Disconnected Reasoning,99,128
FALSE,13,Dialect-robust Evaluation of Generated Text,Dialect-robust Evaluation of Generated Text,100,152
FALSE,14,DIONYSUS: A Pre-trained Model for Low-Resource Dialogue Summarization,DIONYSUS: A Pre-trained Model for Low-Resource Dialogue Summarization,100,164
FALSE,15,DiSCoMAT: Distantly Supervised Composition Extraction from Tables in Materials Science Articles,DiSCoMaT: Distantly Supervised Composition Extraction from Tables in  Materials Science Articles,99,166
FALSE,16,Diverse Demonstrations Improve In-context Compositional Generalization,Diverse Demonstrations Improve In-context Compositional Generalization,100,177
FALSE,17,Do CoNLL-2003 Named Entity Taggers Still Work Well in 2023?,Do CoNLL-2003 Named Entity Taggers Still Work Well in 2023?,100,180
FALSE,18,Do language models have coherent mental models of everyday things?,Do language models have coherent mental models of everyday things?,100,182
FALSE,19,Improving Long Story Coherence With Detailed Outline Control,DOC: Improving Long Story Coherence With Detailed Outline Control,96,185
TRUE,20,DualGATs: Dual Graph Attention Networks for Emotion Recognition in Conversations,Graph Attention Networks,90,198
FALSE,21,Elaboration-Generating Commonsense Question Answering at Scale,Elaboration-Generating Commonsense Question Answering at Scale,100,208
TRUE,22,Exploring How Generative Adversarial Networks Learn Phonological Representations,Generative Adversarial Networks,90,233
FALSE,23,Extrinsic Evaluation of Machine Translation Metrics,Extrinsic Evaluation of Machine Translation Metrics,100,237
TRUE,24,\(f\)-Divergence Minimization for Sequence-Level Knowledge Distillation,Sequence-Level Knowledge Distillation,90,238
FALSE,25,Few-shot Adaptation Works with UnpredictTable Data,Few-shot Adaptation Works with UnpredicTable Data,99,253
FALSE,26,GanLM: Encoder-Decoder Pre-training with an Auxiliary Discriminator,GanLM: Encoder-Decoder Pre-training with an Auxiliary Discriminator,100,270
FALSE,27,Generic Temporal Reasoning with Differential Analysis and Explanation,Generic Temporal Reasoning with Differential Analysis and Explanation,100,277
FALSE,28,HyPe: Better Pre-trained Language Model Fine-tuning with Hidden Representation Perturbation,HyPe: Better Pre-trained Language Model Fine-tuning with Hidden  Representation Perturbation,99,305
FALSE,29,In-sample Curriculum Learning by Sequence Completion for Natural Language Generation,In-sample Curriculum Learning by Sequence Completion for Natural  Language Generation,99,321
FALSE,30,"KALM: Knowledge-Aware Integration of Local, Document, and Global Contexts for Long Document Understanding"," KALM: Knowledge-Aware Integration of Local, Document, and Global  Contexts for Long Document Understanding",100,342
FALSE,31,Language Detoxification with Attribute-Discriminative Latent Space,Language Detoxification with Attribute-Discriminative Latent Space,100,351
