,text,label
0,"In this section, we first review CD formulae in a broader context, and then discuss normalizing flow-based models, which are core to the proposed CD metric.

**CD Formulae**. The CD assessment is necessary for day-to-day color control, and is indispensable for color matching in color industries. Admittedly, CD formulae have accelerated the instrumental pass/fail devices for color judgments, but much still needs to be done for complete satisfaction. The scientific investigation of perceptual CDs can be dated at least back to Young and Helmholtz, who proposed and developed the trichromatic theory of color, which is the foundation of the metameric color matching experiment. CIELAB [1] is one of the most successful CD metrics recommended by CIE in 1976, and has been widely adopted in industry for a long time. However, the CIELAB color space is not perceptually uniform [2], which motivates the development of CIE94 [3] and CIEDE2000  through the introduction of application-specific parameters. Other CIELAB-based CD metrics include JPC79 , BFD(\(l\):\(c\)) [4], and CMC(\(l\):\(c\)) [5]. The introduced parameters are primarily calibrated using uniformly colored patches, digital or printed, which are statistically and semantically different from photographic images. Thus, the generalization of these metrics to photographic images is somewhat limited, especially when misalignment due to geometric distortions is present.

To incorporate spatial context into CD assessment, Zhang and Wandell [6] presented S-CIELAB, which extends CIELAB by adding spatial low-pass filtering as preprocessing. Similarly, Ouni _et al_. [7] provided a spatial extension of CIEDE2000. Lee _et al_. [8] re-examined histogram intersection, which is widely used in color image index, for the purpose of color image similarity assessment. Hong and Luo [9] chose to give larger weights to areas with spatially homogeneous colors and pixels with larger CDs. This method was later augmented by spatial filtering . Lee and Plataniois [10] built upon the philosophy of color structural similarity, and gave the hue component careful treatment with circular statistics. Jaramillo _et al_.  grouped the same texture areas for human-like CDassessment, using local binary patterns as texture descriptors.

General-purpose image quality models, including full-reference ones - SSIM [11], VSI [12], LPIPS [13] and DISTS [14], reduced-reference ones - Wang05 [15] and Yu09 [16], and no-reference ones - BRISQUE [17], NIQE [18] and Gao13 [19] can be directly adopted for CD assessment, regarding CDs as a particular form of ""visual degradations."" Meanwhile, just-noticeable difference (JND) methods, _e.g._, Butteraugli [20] and 'HLIP , also attempt to characterize visually indistinguishable color changes between two images. In the era of deep learning, due to the lack of sufficient human-labeled training data, DNN-based CD formulae are rarely proposed. Wang _et al._[21] created the first largest image dataset, SPCL, for perceptual CD assessment, and made one of the first attempts to train a DNN-based CD measure for photographic images. However, the underlying feature transform is not mathematically bijective.

**Normalizing Flow-based Models**. Normalizing flow-based generative models are constructed by bijective functions \(f:\mathbb{R}^{D}\rightarrow\mathbb{R}^{D}\), with typically easy-to-compute analytical inverse \(f^{-1}:\mathbb{R}^{D}\rightarrow\mathbb{R}^{D}\). The primary goal of \(f\) is to map raw data \(\mathbf{x}\) to samples \(\mathbf{z}=f(\mathbf{x})\) from a simple probability distribution \(p_{\mathcal{Z}}(\mathbf{z})\). Many classic machine learning algorithms can be cast in this framework, such as principal component analysis (PCA, where \(f\) is a linear transform and \(p_{\mathcal{Z}}(\mathbf{z})\) is standard Gaussian) and independent component analysis (ICA, where \(f\) is again linear and \(p_{\mathcal{Z}}\) is factorized and heavy-tailed).

In 2014, Dinh _et al._[22] proposed non-linear independent component estimation (NICE), as a generalization of ICA. NICE is considered the first normalizing flow with the introduction of the _additive coupling_ to ease the calculation of the Jacobian determinant. To make flow-based models more suitable for image-related tasks, Dinh _et al._[23] extended NICE to RealNVP, which admits a _multi-scale autoregressive_ architecture, implemented by _squeezing_ and _affine coupling_. Kingma and Dhariwal [24] introduced the _invertible_\(1\times 1\)_convolution_ (_i.e._, the linear transform in PCA) to replace the fixed random permutation for splitting the channel dimension during multi-scale processing. The batch normalization in RealNVP is also replaced with activation normalization (_i.e._, _actnorm_). To allow unconstrained architectural design, Grathwohl _et al._[25] leveraged the Hutchinson's trace estimator for scalable and unbiased estimation of the log-density. Similarly, Behrmann _et al._[26] proposed invertible residual networks (i-ResNet), introducing a tractable estimation to the Jacobian log-determinant of a residual block. Other representative normalizing flow work includes hierarchical recursive coupling [27] for increasing flow expressiveness, Wavelet Flow [28] for scaling flow to ultra-high dimensional data, and Discrete Flow [29] for discrete data modeling. In this paper, we do not use normalizing flow for generative modeling, but for invertible feature transform.",1
1,"In this section, we first review CD formulae in a broader context, and then discuss normalizing flow-based models, which are core to the proposed CD metric.

**CD Formulae**. The CD assessment is necessary for day-to-day color control, and is indispensable for color matching in color industries. Admittedly, CD formulae have accelerated the instrumental pass/fail devices for color judgments, but much still needs to be done for complete satisfaction. The scientific investigation of perceptual CDs can be dated at least back to Young and Helmholtz, who proposed and developed the trichromatic theory of color, which is the foundation of the metameric color matching experiment. CIELAB [1] is one of the most successful CD metrics recommended by CIE in 1976, and has been widely adopted in industry for a long time. However, the CIELAB color space is not perceptually uniform [2], which motivates the development of CIE94 [3] and CIEDE2000  through the introduction of application-specific parameters. Other CIELAB-based CD metrics include JPC79 , BFD(\(l\):\(c\)) [4], and CMC(\(l\):\(c\)) [5]. The introduced parameters are primarily calibrated using uniformly colored patches, digital or printed, which are statistically and semantically different from photographic images. Thus, the generalization of these metrics to photographic images is somewhat limited, especially when misalignment due to geometric distortions is present.

To incorporate spatial context into CD assessment, Zhang and Wandell [6] presented S-CIELAB, which extends CIELAB by adding spatial low-pass filtering as preprocessing. Similarly, Ouni _et al_. [7] provided a spatial extension of CIEDE2000. Lee _et al_. [8] re-examined histogram intersection, which is widely used in color image index, for the purpose of color image similarity assessment. Hong and Luo [9] chose to give larger weights to areas with spatially homogeneous colors and pixels with larger CDs. This method was later augmented by spatial filtering . Lee and Plataniois [10] built upon the philosophy of color structural similarity, and gave the hue component careful treatment with circular statistics. Jaramillo _et al_.  grouped the same texture areas for human-like CDassessment, using local binary patterns as texture descriptors.

General-purpose image quality models, including full-reference ones - SSIM [11], VSI [12], LPIPS [13] and DISTS [14], reduced-reference ones - Wang05 [15] and Yu09 [16], and no-reference ones - BRISQUE [17], NIQE [18] and Gao13 [19] can be directly adopted for CD assessment, regarding CDs as a particular form of ""visual degradations."" Meanwhile, just-noticeable difference (JND) methods, _e.g._, Butteraugli [20] and 'HLIP , also attempt to characterize visually indistinguishable color changes between two images. In the era of deep learning, due to the lack of sufficient human-labeled training data, DNN-based CD formulae are rarely proposed. Wang _et al._[21] created the first largest image dataset, SPCL, for perceptual CD assessment, and made one of the first attempts to train a DNN-based CD measure for photographic images. However, the underlying feature transform is not mathematically bijective.

**Normalizing Flow-based Models**. Normalizing flow-based generative models are constructed by bijective functions \(f:\mathbb{R}^{D}\rightarrow\mathbb{R}^{D}\), with typically easy-to-compute analytical inverse \(f^{-1}:\mathbb{R}^{D}\rightarrow\mathbb{R}^{D}\). The primary goal of \(f\) is to map raw data \(\mathbf{x}\) to samples \(\mathbf{z}=f(\mathbf{x})\) from a simple probability distribution \(p_{\mathcal{Z}}(\mathbf{z})\). Many classic machine learning algorithms can be cast in this framework, such as principal component analysis (PCA, where \(f\) is a linear transform and \(p_{\mathcal{Z}}(\mathbf{z})\) is standard Gaussian) and independent component analysis (ICA, where \(f\) is again linear and \(p_{\mathcal{Z}}\) is factorized and heavy-tailed).

In 2014, Dinh _et al._[22] proposed non-linear independent component estimation (NICE), as a generalization of ICA. NICE is considered the first normalizing flow with the introduction of the _additive coupling_ to ease the calculation of the Jacobian determinant. To make flow-based models more suitable for image-related tasks, Dinh _et al._[23] extended NICE to RealNVP, which admits a _multi-scale autoregressive_ architecture, implemented by _squeezing_ and _affine coupling_. Kingma and Dhariwal [24] introduced the _invertible_\(1\times 1\)_convolution_ (_i.e._, the linear transform in PCA) to replace the fixed random permutation for splitting the channel dimension during multi-scale processing. The batch normalization in RealNVP is also replaced with activation normalization (_i.e._, _actnorm_). To allow unconstrained architectural design, Grathwohl _et al._[25] leveraged the Hutchinson's trace estimator for scalable and unbiased estimation of the log-density. Similarly, Behrmann _et al._[26] proposed invertible residual networks (i-ResNet), introducing a tractable estimation to the Jacobian log-determinant of a residual block. Other representative normalizing flow work includes hierarchical recursive coupling [27] for increasing flow expressiveness, Wavelet Flow [28] for scaling flow to ultra-high dimensional data, and Discrete Flow [29] for discrete data modeling. ",0
2," Despite the surprising zero-shot performance of PLMs, recent works show that ICL can bring the performance to the next level. Augmenting PLMs with ICL achieves SOTA results on a wide range of NLP tasks, ranging from question answering , information retrieval [1], math word problem , commonsense reasoning , and fact checking [2] etc. The instability of ICL, however, has encouraged researchers to explore methods that search for robust and high-performing prompts. These methods can be categorized as follows based on the target of searching/optimization:

Template searchfocuses on searching for the template that can guide PLM's behavior and steer its best performance. Great advances have been made in template searching using various methods: PLMs , heuristic rules ; [7]; [8]; [3], reinforcement learning , genetic algorithms [6], or by hands [4]; [5]. Nonetheless, all these methods require a high-quality validation set to do prompt selection or optimization. Unlike them, our framework does not require a validation set.

When the validation set is not available, researchers propose to search prompts using entropy [9] or mutual information [4]. It's worth mentioning that these two works and all aforementioned methods search at the _corpus-level_: they pick the best-performing template with or without a validation set and then equally apply this template to all test examples during inference. However, corpus-level methods might be sub-optimal. If we consider the _No Free Lunch Theorem_, finding one single template that works well for all testing examples is nearly impossible.

In-context example search,unlike template search, is rarely explored in the literature despite that they also have a huge impact on ICL performance ([5]; [9]). [9] first propose a learning-free corpus-level method for in-context example search. However, they only consider an impractical setting with only 4 examples and their 24 permutations (\({}^{4}P_{4}=4!=24\)). [10] find examples that are semantically similar to a test sample can serve as a good choice for its in-context examples. However, the reason why such a simple heuristic works is unclear. [12] extend this nearest neighbor search and further take the diversity of examples into consideration. Inspired by these methods, recent studies propose to learn to retrieve in-context examples ([11]).

",1
3," Despite the surprising zero-shot performance of PLMs, recent works show that ICL can bring the performance to the next level. Augmenting PLMs with ICL achieves SOTA results on a wide range of NLP tasks, ranging from question answering , information retrieval [1], math word problem , commonsense reasoning , and fact checking [2] etc. The instability of ICL, however, has encouraged researchers to explore methods that search for robust and high-performing prompts. These methods can be categorized as follows based on the target of searching/optimization:

Template searchfocuses on searching for the template that can guide PLM's behavior and steer its best performance. Great advances have been made in template searching using various methods: PLMs , heuristic rules ; [7]; [8]; [3], reinforcement learning , genetic algorithms [6], or by hands [4]; [5]. Nonetheless, all these methods require a high-quality validation set to do prompt selection or optimization. 

When the validation set is not available, researchers propose to search prompts using entropy [9] or mutual information [4]. It's worth mentioning that these two works and all aforementioned methods search at the _corpus-level_: they pick the best-performing template with or without a validation set and then equally apply this template to all test examples during inference. However, corpus-level methods might be sub-optimal. 

In-context example search,unlike template search, is rarely explored in the literature despite that they also have a huge impact on ICL performance ([5]; [9]). [9] first propose a learning-free corpus-level method for in-context example search. However, they only consider an impractical setting with only 4 examples and their 24 permutations (\({}^{4}P_{4}=4!=24\)). [10] find examples that are semantically similar to a test sample can serve as a good choice for its in-context examples. However, the reason why such a simple heuristic works is unclear. [12] extend this nearest neighbor search and further take the diversity of examples into consideration. Inspired by these methods, recent studies propose to learn to retrieve in-context examples ([11]).

",0
4," **Entropy based method.** Nunes and Demiris [1] proposed the entropy minimization framework (EMin) to obviate the need for an explicit intermediate image-based representation. They estimate the motion transformations by minimizing the dispersion of events, measured via a family of entropy functions. Since the entropy function has quadratic complexity, they extended EMin with an approximated version (AEMin) that searches events within a certain distance and an online version (IncEMin [2]) that incrementally estimates the motion parameters, achieving real-time rotational motion estimation. In contrast, our TS loss obviates the pair-wise calculation of events, showing a much lower computational complexity than the entropy loss. In addition, our approach is capable of conducting real-time estimations with sampled events and exhibiting superior accuracy compared to IncEMin.

**3D Points based method.** Liu _et al._[3] considered events as 3D points in the spatio-temporal space. They proposed a spatio-temporal registration algorithm (STR) that estimates rotational motion transformations by splitting events into early and late parts and registering events one-by-one based on trimmed iterative closest points [4]. STR requires costly computation with a nearest-neighbor search strategy. In addition, it is prone to incorrect registrations with noise events. In our work, we handle the data association problem implicitly and we apply a denoising operation on the TS map to reduce the influence of the noise.

**Image based method.** To combine events with well-established frame-based vision tools, some works [5][6][7][8] chose to transform events into an image-based representation. Gallego _et al._[7][9] proposed the Contrast Maximization (CMax) framework, which accumulates events to produce an image of warped events and maximizes the image contrast with respect to the motion parameters. Cheng _et al._[8] developed a spatio-temporal Poisson point process (ST-PPP) that aligns events through a maximum likelihood approach. The hyper-parameter \(\lambda\) of the Poisson pro cess is environment-specific and requires re-measurement when switching scenes or event cameras. Mitrokhin [6] proposed a method to estimate similarity transformations with metrics in the time-image, where they minimize a time-image loss (, the sum of gradients of the time-image) with respect to the motion parameters. In [10][11], the CMax framework was evaluated with twenty more image-based loss metrics. The contrast loss [7] achieves the best performance in terms of accuracy and efficiency, while the time-image loss [6] reports the lowest accuracy. A distinct difference between our approach and [6] is that our approach constructs the TS map with the minimum timestamps of the events warped at the same pixel. Thus not all the event timestamps are involved in optimization.

",1
5," **Entropy based method.** Nunes and Demiris [1] proposed the entropy minimization framework (EMin) to obviate the need for an explicit intermediate image-based representation. They estimate the motion transformations by minimizing the dispersion of events, measured via a family of entropy functions. Since the entropy function has quadratic complexity, they extended EMin with an approximated version (AEMin) that searches events within a certain distance and an online version (IncEMin [2]) that incrementally estimates the motion parameters, achieving real-time rotational motion estimation. 

**3D Points based method.** Liu _et al._[3] considered events as 3D points in the spatio-temporal space. They proposed a spatio-temporal registration algorithm (STR) that estimates rotational motion transformations by splitting events into early and late parts and registering events one-by-one based on trimmed iterative closest points [4]. STR requires costly computation with a nearest-neighbor search strategy. In addition, it is prone to incorrect registrations with noise events. 

**Image based method.** To combine events with well-established frame-based vision tools, some works [5][6][7][8] chose to transform events into an image-based representation. Gallego _et al._[7][9] proposed the Contrast Maximization (CMax) framework, which accumulates events to produce an image of warped events and maximizes the image contrast with respect to the motion parameters. Cheng _et al._[8] developed a spatio-temporal Poisson point process (ST-PPP) that aligns events through a maximum likelihood approach. The hyper-parameter \(\lambda\) of the Poisson pro cess is environment-specific and requires re-measurement when switching scenes or event cameras. Mitrokhin [6] proposed a method to estimate similarity transformations with metrics in the time-image, where they minimize a time-image loss (, the sum of gradients of the time-image) with respect to the motion parameters. In [10][11], the CMax framework was evaluated with twenty more image-based loss metrics. The contrast loss [7] achieves the best performance in terms of accuracy and efficiency, while the time-image loss [6] reports the lowest accuracy. A distinct difference between our approach and [6] is that our approach constructs the TS map with the minimum timestamps of the events warped at the same pixel. Thus not all the event timestamps are involved in optimization.

",0
6," **Prompt Tuning.** Prompt tuning is first introduced in the NLP area [1] to close the gap between pre-training and downstream tasks. Petroni et al. [2] manually create cloze-style prompts to elicit knowledge from pre-trained language models in a ""fill-in-the-blank"" way. Further, prompt tuning is introduced in vision-language understanding , which can enhance the generalizability of large vision-language models [3][4][5] on a wide range of vision-language understanding tasks [6][7][8][9][10][11][12][13][14]. As manually designing suitable prompts for different tasks is time-consuming and usually sub-optimal, recent works [15][16] propose to optimize a set of continuous learnable prompt embeddings. Concretely, CoOp  optimizes continuous prompt embeddings to improve the few-shot generalizability of CLIP. CoCoOp [17] proposes to learn image-conditioned prompts to further improve the generalizability of CoOp. ProDA [18] learns a distribution of diverse prompts via Gaussian distribution to handle the varying visual representations. To further enhance CLIP's adaption capability, Tip-Adapter builds a key-value cache model from the few-shot training samples to perform feature retrieval. Instead of designing a specific prompt tuning method, we propose a model-agnostic meta-prompt learning framework to improve the adaptation ability and cross-domain generalizability of the prompt tuning methods, which can be incorporated into existing methods in a plug-and-play fashion.

**Meta-Learning.** Meta-learning aims to enable efficient adaptation ability of models by leveraging the experience from learning across a set of tasks. Meta-learning approaches can be categorized as: metric-based [19][20][21], memory-based [22][23][24], and optimization-based [25][26][27]. Our framework is based on the optimization-based method (_i.e._, MAML [26]). Rather than relying on human-annotated meta-training tasks, our method can automatically generate a diverse set of meta-training tasks by cross-modal hierarchical clustering. Li et al. [28] propose to synthesize domain shift during meta-training to learn a domain-generalizable initialization. Differently, we present a novel gradient regulating function that actively transforms the updated gradient into a domain-generalizable direction.

",1
7," **Prompt Tuning.** Prompt tuning is first introduced in the NLP area [1] to close the gap between pre-training and downstream tasks. Petroni et al. [2] manually create cloze-style prompts to elicit knowledge from pre-trained language models in a ""fill-in-the-blank"" way. Further, prompt tuning is introduced in vision-language understanding , which can enhance the generalizability of large vision-language models [3][4][5] on a wide range of vision-language understanding tasks [6][7][8][9][10][11][12][13][14]. As manually designing suitable prompts for different tasks is time-consuming and usually sub-optimal, recent works [15][16] propose to optimize a set of continuous learnable prompt embeddings. Concretely, CoOp  optimizes continuous prompt embeddings to improve the few-shot generalizability of CLIP. CoCoOp [17] proposes to learn image-conditioned prompts to further improve the generalizability of CoOp. ProDA [18] learns a distribution of diverse prompts via Gaussian distribution to handle the varying visual representations. 

**Meta-Learning.** Meta-learning aims to enable efficient adaptation ability of models by leveraging the experience from learning across a set of tasks. Meta-learning approaches can be categorized as: metric-based [19][20][21], memory-based [22][23][24], and optimization-based [25][26][27]. Our framework is based on the optimization-based method (_i.e._, MAML [26]). Rather than relying on human-annotated meta-training tasks, our method can automatically generate a diverse set of meta-training tasks by cross-modal hierarchical clustering. Li et al. [28] propose to synthesize domain shift during meta-training to learn a domain-generalizable initialization. 

",0
8," **Domain Generalization (DG).** DG typically involves training models on single or multiple labeled data sources to generalize well to novel test time data sources (unseen during training). Several approaches have been proposed to tackle domain generalization [1][2], such as decomposing a model into domain invariant and specific components and utilizing the former to make predictions [3], learning domain specific masks for generalization , using meta-learning to train a robust model [4][5][6][7], manipulating feature statistics to augment training data [8][9][10], and using models crafted based on risk minimization formalisms [11]. More recently, properly tuned ERMs (Empirical Risk Minimization) have proven to be a competitive DG approach [12], with follow-up work adopting various optimization and regularization techniques [13][14] on top.

**Single Domain Generalization (SDG).** Unlike DG which leverages diversity across multiple sources for better generalization, SDG considers generalizing from a single source. Notable approaches for SDG use meta-learning [15] by considering strongly augmented source images as meta-target data (by exposing the model to increasingly distinct augmented views of the source data [16][17]) and learning feature normalization schemes with auxiliary objectives [18].

**Synthetic-to-Real Generalization (Syn-to-Real).** Prior work on syn-to-real generalization has mostly focused on some specific methods, including learning feature normalization / whitening schemes [19], using external data for style injection [20][21], explicitly optimizing for robustness [22], leveraging strong augmentations / domain randomization [23][21], consistency objectives [24] and using contrastive techniques to aid generalization [25]. Some approaches have also considered adapting from synthetic to real images, using techniques such as adversarial training [26], adversarial alignment losses [27], balancing transferability and discriminability [28] and feature alignment [29]. Pasta is more similar to the kind of methods adopting augmentations for improving out-of-the-box generalization We consider \(3\) of the most commonly studied syn-to-real generalization settings - (1) Semantic Segmentation - GTAV \(\rightarrow\)Real, (2) Object Detection - Sim10K [30]\(\rightarrow\)Real and (3) Object Recognition - VisDA-C [31] Syn\(\rightarrow\)Real. [32] recently proposed tailoring synthetic data for better generalization.

**Fourier Generalization & Adaptation Methods.** Prior work that explored augmenting images in the Fourier domain (as opposed to the pixel space) rely on a key empirical observation [33][34][35][36] that the phase component of the Fourier spectrum tends to preserve high-level semantics, and therefore, they focused mostly on perturbing the amplitude. Pasta is in line with this style of approach. Amplitude Jitter (AJ) [37] and Amplitude Mixup (AM) [37] are methods similar to Pasta that augment images by perturbing their amplitude spectra. While AM mixes the amplitude spectra of different images, AJ applies uniform perturbation with a single jitter value \(\epsilon\). FSDR [38], on the other hand, isolates domain variant and invariant frequency components using extra data and sets up a learning paradigm. Building on top of [37][39] adds a significance mask when linearly in terpolating amplitudes. [40] only perturbs image-frequency components that capture little semantic information. [41] uses an encoder-decoder to obtain high/low frequency features and augments images by adding noise to high frequency phase and low frequency amplitude. [42][43] study how amplitude and phase perturbations impact robustness to natural corruptions [44]. In contrast to these works, Pasta's simple strategy of perturbing amplitude spectra in a structured way and leads to strong out-of-the-box generalization without the need for specialized components, extra data, task-specific design, or changes to learning rules.

",1
9," **Domain Generalization (DG).** DG typically involves training models on single or multiple labeled data sources to generalize well to novel test time data sources (unseen during training). Several approaches have been proposed to tackle domain generalization [1][2], such as decomposing a model into domain invariant and specific components and utilizing the former to make predictions [3], learning domain specific masks for generalization , using meta-learning to train a robust model [4][5][6][7], manipulating feature statistics to augment training data [8][9][10], and using models crafted based on risk minimization formalisms [11]. More recently, properly tuned ERMs (Empirical Risk Minimization) have proven to be a competitive DG approach [12], with follow-up work adopting various optimization and regularization techniques [13][14] on top.

**Single Domain Generalization (SDG).** Unlike DG which leverages diversity across multiple sources for better generalization, SDG considers generalizing from a single source. Notable approaches for SDG use meta-learning [15] by considering strongly augmented source images as meta-target data (by exposing the model to increasingly distinct augmented views of the source data [16][17]) and learning feature normalization schemes with auxiliary objectives [18].

**Synthetic-to-Real Generalization (Syn-to-Real).** Prior work on syn-to-real generalization has mostly focused on some specific methods, including learning feature normalization / whitening schemes [19], using external data for style injection [20][21], explicitly optimizing for robustness [22], leveraging strong augmentations / domain randomization [23][21], consistency objectives [24] and using contrastive techniques to aid generalization [25]. Some approaches have also considered adapting from synthetic to real images, using techniques such as adversarial training [26], adversarial alignment losses [27], balancing transferability and discriminability [28] and feature alignment [29]. Pasta is more similar to the kind of methods adopting augmentations for improving out-of-the-box generalization 

**Fourier Generalization & Adaptation Methods.** Prior work that explored augmenting images in the Fourier domain (as opposed to the pixel space) rely on a key empirical observation [33][34][35][36] that the phase component of the Fourier spectrum tends to preserve high-level semantics, and therefore, they focused mostly on perturbing the amplitude. Pasta is in line with this style of approach. Amplitude Jitter (AJ) [37] and Amplitude Mixup (AM) [37] are methods similar to Pasta that augment images by perturbing their amplitude spectra. While AM mixes the amplitude spectra of different images, AJ applies uniform perturbation with a single jitter value \(\epsilon\). FSDR [38], on the other hand, isolates domain variant and invariant frequency components using extra data and sets up a learning paradigm. Building on top of [37][39] adds a significance mask when linearly in terpolating amplitudes. [40] only perturbs image-frequency components that capture little semantic information. [41] uses an encoder-decoder to obtain high/low frequency features and augments images by adding noise to high frequency phase and low frequency amplitude. [42][43] study how amplitude and phase perturbations impact robustness to natural corruptions [44]. 

",0
